author_name,repo,commit_count,commit_sec_min,commit_sec_max
Rob Emanuele,stac-utils/pystac,548,1568322608,1636739059
Jon Duckworth,stac-utils/pystac,322,1619982304,1655664875
Pete Gadomski,stac-utils/pystac,192,1615497591,1738598671
Julia Signell,stac-utils/pystac,90,1673540508,1739201936
Simon Kassel,stac-utils/pystac,82,1569428275,1597953193
Victor Engmark,stac-utils/pystac,72,1618194956,1626219126
Kurt Schwehr,stac-utils/pystac,51,1597772491,1622575417
Víctor Olaya,stac-utils/pystac,30,1613858456,1626917928
Matthew Hanson,stac-utils/pystac,29,1615498658,1617036064
Emmanuel Mathot,stac-utils/pystac,19,1606728206,1623073161
Preston Hartzell,stac-utils/pystac,15,1655665176,1685107906
Christopher Helm,stac-utils/pystac,13,1597788174,1599249288
Francesco Nattino,stac-utils/pystac,8,1605774780,1645529314
Tyler Anderson,stac-utils/pystac,7,1612891413,1613515003
Kyle Barron,stac-utils/pystac,7,1610151341,1613761072
Bobin Mathew,stac-utils/pystac,7,1622658680,1623075672
RichardScottOZ,stac-utils/pystac,6,1619416240,1619418713
Matthias Mohr,stac-utils/pystac,5,1654625637,1690920119
Brendan McAndrew,stac-utils/pystac,4,1697718500,1737210572
Ian Cooke,stac-utils/pystac,4,1683919147,1684420000
Sean Gillies,stac-utils/pystac,4,1572901773,1572902277
Tim Schaub,stac-utils/pystac,4,1579831786,1676484332
Nathan Zimmerman,stac-utils/pystac,3,1615410950,1727968071
Vincent Sarago,stac-utils/pystac,2,1628972729,1689184958
Matthias Mohr,radiantearth/stac-spec,865,1530625520,1726047304
Matthew Hanson,radiantearth/stac-spec,483,1521747090,1695841172
Emmanuel Mathot,radiantearth/stac-spec,98,1599634937,1725957782
Rob Emanuele,radiantearth/stac-spec,32,1510109862,1620233229
Pete Gadomski,radiantearth/stac-spec,6,1627935309,1723392273
Kurt Schwehr,radiantearth/stac-spec,3,1597169255,1604530053
Kyle Barron,radiantearth/stac-spec,2,1611703082,1615916421
Tim Schaub,radiantearth/stac-spec,1,1645570105,1645570105
Matthias Mohr,radiantearth/stac-browser,690,1533823334,1738846652
Rob Emanuele,radiantearth/stac-browser,33,1590948958,1605534423
Tim Schaub,radiantearth/stac-browser,2,1678229571,1680897549
Kurt Schwehr,radiantearth/stac-browser,1,1602105196,1602105196
Matthias Mohr,radiantearth/stac-api-spec,674,1530625520,1676627397
Matthew Hanson,radiantearth/stac-api-spec,448,1521747090,1607558403
Rob Emanuele,radiantearth/stac-api-spec,18,1510109862,1681745645
Jon Duckworth,radiantearth/stac-api-spec,7,1618924978,1620156910
Tim Schaub,radiantearth/stac-api-spec,4,1651178062,1678751623
Kyle Barron,radiantearth/stac-api-spec,1,1661873756,1661873756
Matthias Mohr,radiantearth/stac-site,13,1555320233,1649234935
Matthew Hanson,radiantearth/stac-site,4,1556809121,1556814310
Pete Gadomski,radiantearth/stac-site,3,1681994737,1691162960
Matthew Hanson,stac-utils/pystac-client,339,1617420548,1650341067
Pete Gadomski,stac-utils/pystac-client,162,1618344622,1739278947
Jon Duckworth,stac-utils/pystac-client,49,1614454736,1656089048
Julia Signell,stac-utils/pystac-client,14,1681915703,1738358456
Rob Emanuele,stac-utils/pystac-client,5,1625861134,1625868248
Ian Cooke,stac-utils/pystac-client,3,1677782935,1685026279
Brendan McAndrew,stac-utils/pystac-client,1,1707408264,1707408264
Vincent Sarago,stac-utils/stac-fastapi,83,1597193820,1738259392
Rob Emanuele,stac-utils/stac-fastapi,50,1623128845,1635862711
Nathan Zimmerman,stac-utils/stac-fastapi,31,1622566578,1642534913
Pete Gadomski,stac-utils/stac-fastapi,29,1668699025,1694007382
Jon Duckworth,stac-utils/stac-fastapi,3,1659018248,1659463233
Matthias Mohr,stac-utils/stac-fastapi,3,1659235417,1712847211
Preston Hartzell,stac-utils/stac-fastapi,1,1676575270,1676575270
Kyle Barron,stac-utils/stac-fastapi,1,1611974060,1611974060
Brendan McAndrew,stac-utils/stac-fastapi,1,1671738949,1671738949
Kyle Barron,stac-utils/stac-geoparquet,39,1695756341,1719346889
Matthias Mohr,stac-utils/stac-geoparquet,7,1688132868,1689774315
Pete Gadomski,stac-utils/stac-geoparquet,3,1663863797,1738944503
Vincent Sarago,stac-utils/titiler-pgstac,426,1626794712,1739469901
Brendan McAndrew,stac-utils/titiler-pgstac,1,1720810381,1720810381
Vincent Sarago,stac-utils/stac-pydantic,75,1602000156,1736342019
Nathan Zimmerman,stac-utils/stac-pydantic,35,1624632171,1651610342
Rob Emanuele,stac-utils/stac-pydantic,16,1606783809,1627097465
Pete Gadomski,stac-utils/stac-pydantic,6,1706188102,1736337244
Kyle Barron,stac-utils/stac-pydantic,3,1612223751,1624940134
Jon Duckworth,stac-utils/stac-pydantic,1,1629309078,1629309078
Pete Gadomski,stac-utils/stac-asset,167,1684870704,1730840687
Ian Cooke,stac-utils/stac-asset,2,1692816388,1730243775
Pete Gadomski,stac-utils/stac-rs,812,1635861187,1738942613
Vincent Sarago,stac-utils/stac-fastapi-pgstac,38,1612750031,1738857432
Pete Gadomski,stac-utils/stac-fastapi-pgstac,36,1668699025,1694449031
