repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages
stac-utils/pystac,378,123,2017-11-08 13:30:15+00:00,2025-02-13 03:28:01+00:00,1938,https://pystac.readthedocs.io,Python library for working with any SpatioTemporal Asset Catalog (STAC),"Python,Jinja,Shell"
radiantearth/stac-spec,817,180,2017-05-10 15:25:31+00:00,2025-02-12 18:40:09+00:00,2927,https://stacspec.org,SpatioTemporal Asset Catalog specification - making geospatial assets openly searchable and crawlable,JavaScript
radiantearth/stac-browser,298,147,2018-05-10 01:39:58+00:00,2025-02-14 20:24:05+00:00,1016,https://radiantearth.github.io/stac-browser,A full-fledged UI in Vue for browsing and searching static STAC catalogs and STAC APIs,"Vue,JavaScript,SCSS,HTML,Shell,Dockerfile"
radiantearth/stac-api-spec,231,47,2020-03-02 16:21:32+00:00,2025-02-14 16:08:00+00:00,2483,http://stacspec.org,SpatioTemporal Asset Catalog API specification - an API to make geospatial assets openly searchable and crawlable,"JavaScript,HTML,Shell"
radiantearth/stac-site,27,32,2018-08-15 16:39:54+00:00,2025-01-26 18:07:43+00:00,288,https://stacspec.org,Website for SpatioTemporal Asset Catalog specification,"HTML,Jupyter Notebook,JavaScript,CSS,Dockerfile,Python"
stac-utils/pystac-client,175,48,2021-03-03 03:33:04+00:00,2025-02-13 03:28:03+00:00,926,https://pystac-client.readthedocs.io,Python client for searching STAC APIs,"Python,Shell"
stac-utils/stac-fastapi,259,105,2020-06-17 03:31:20+00:00,2025-01-30 17:49:58+00:00,426,https://stac-utils.github.io/stac-fastapi/,STAC API implementation with FastAPI. ,"Python,Shell,Dockerfile,Makefile"
stac-utils/stac-geoparquet,90,10,2022-06-01 20:42:02+00:00,2025-02-13 23:00:50+00:00,66,https://stac-utils.github.io/stac-geoparquet/,"Convert STAC items between JSON, GeoParquet, pgstac, and Delta Lake.","Python,Dockerfile,Shell"
stac-utils/titiler-pgstac,89,29,2021-07-20 15:19:21+00:00,2025-02-14 01:12:11+00:00,464,https://stac-utils.github.io/titiler-pgstac/,TiTiler + PgSTAC,"Python,HTML,Dockerfile"
stac-utils/stac-pydantic,69,27,2020-03-10 00:10:57+00:00,2025-02-10 18:01:20+00:00,296,https://github.com/stac-utils/stac-pydantic,Pydantic data models for the STAC spec,Python
stac-utils/stac-asset,42,8,2023-05-23 19:38:23+00:00,2024-12-24 11:16:56+00:00,255,https://stac-asset.readthedocs.io,"Read and download STAC Assets, using a variety of authentication schemes",Python
stac-utils/stac-rs,90,13,2021-03-29 17:08:13+00:00,2025-02-08 11:44:08+00:00,846,https://stac-utils.github.io/stac-rs/,"Tools and libraries for the SpatioTemporal Asset Catalog (STAC) specification, written in Rust","Rust,Shell,Python,HTML"
